no;phpws;mhdi;incpc;region;pop
129;0.8515;0.575;173.63;1;13181
130;0.7365;0.724;444.5;1;105121
131;0.8676;0.556;167.06;1;18764
132;0.7394;0.58;281.23;1;20103
133;0.8561;0.542;183.8;1;34586
134;0.8354;0.532;210.4;1;17562
135;0.8925;0.61;230.94;1;18067
136;0.7871;0.561;159.46;1;14519
137;0.8085;0.549;239.23;1;20079
138;0.8943;0.682;441.42;1;39448
139;0.7799;0.516;154;1;22732
140;0.7389;0.554;201.99;1;34267
141;0.7807;0.599;186.95;1;13803
142;0.7365;0.564;178.51;1;21201
143;0.8558;0.633;274.84;1;31152
144;0.8109;0.637;292.88;1;78162
145;0.8478;0.541;223.37;1;22016
146;0.7556;0.576;181.05;1;17381
147;0.8043;0.576;234.72;1;19708
148;0.9159;0.684;497.56;1;21530
149;0.9308;0.615;227.87;1;6030
150;0.8727;0.653;398.15;1;44731
151;0.4407;0.563;133.03;1;11541
152;0.9348;0.591;201.15;1;6374
153;0.8573;0.557;164.13;1;17165
154;0.5125;0.587;149.19;1;10717
155;0.7142;0.512;129.85;1;13954
156;0.8527;0.626;274;1;26327
157;0.8183;0.576;281.53;1;20209
158;0.8998;0.615;317.75;1;7318
159;0.7981;0.632;271.65;1;39576
160;0.6852;0.565;233.92;1;5487
161;0.9515;0.525;140.76;1;7061
162;0.7158;0.571;217.94;1;39110
163;0.9672;0.674;411.04;1;77282
164;0.7821;0.55;210.3;1;74043
165;0.9473;0.599;301.39;1;22644
166;0.7443;0.555;168.77;1;29191
167;0.7757;0.609;249.26;1;32366
168;0.8871;0.51;127.77;1;11661
169;0.8052;0.518;135.04;1;13820
170;0.8082;0.566;240.2;1;14288
171;0.7686;0.541;147.34;1;17799
172;0.8108;0.602;210.47;1;40736
173;0.5407;0.572;196.57;1;26476
174;0.8755;0.59;288.68;1;6983
175;0.9146;0.582;243.74;1;33607
176;0.2459;0.557;199.47;1;4702
177;0.8326;0.584;253.78;1;10261
178;0.5805;0.528;182.63;1;12146
179;0.6575;0.598;171.53;1;19920
180;0.8187;0.509;165.38;1;12309
181;0.8111;0.609;251.04;1;10814
182;0.8277;0.517;165.1;1;17238
183;0.9314;0.615;362.47;1;24928
184;0.7461;0.708;435.4;1;163045
185;0.901;0.557;180.77;1;7496
186;0.8318;0.768;805.36;1;1014837
187;0.8072;0.54;182.83;1;20153
188;0.8221;0.616;396.29;1;39093
189;0.919;0.605;289.7;1;12028
190;0.8425;0.6;257.76;1;4425
191;0.7697;0.61;301.25;1;17474
192;0.7794;0.516;156.4;1;6090
193;0.7112;0.516;153.65;1;5957
194;0.6864;0.592;184.71;1;20863
195;0.9143;0.493;131.73;1;11990
196;0.6962;0.538;203.17;1;10256
197;0.947;0.602;277.19;1;17998
198;0.769;0.519;123.44;1;10940
199;0.8175;0.564;190.06;1;17002
200;0.7704;0.579;210.88;1;10444
201;0.9167;0.568;226.96;1;4613
202;0.8714;0.599;264.76;1;7796
203;0.7792;0.537;177.46;1;27997
204;0.8947;0.649;365.26;1;155460
205;0.9202;0.606;269.74;1;18953
206;0.9592;0.555;181.75;1;5596
207;0.8783;0.572;221.27;1;39183
208;0.4979;0.561;171.5;1;33933
209;0.8215;0.536;174.09;1;22846
210;0.7629;0.561;235.35;1;52788
211;0.7437;0.588;186.07;1;24573
212;0.6303;0.542;165.37;1;49412
213;0.7632;0.618;272.76;1;49496
214;0.8838;0.581;252.89;1;11258
215;0.8651;0.596;230.76;1;31217
216;0.8311;0.57;265.69;1;31658
217;0.8928;0.595;259.21;1;50173
218;0.2557;0.528;199.35;1;6749
219;0.972;0.599;245.68;1;5098
220;0.928;0.639;335.63;1;16451
221;0.4765;0.531;222.87;1;7341
222;0.8999;0.585;268.12;1;5153
223;0.9024;0.585;272.28;1;13646
224;0.8433;0.614;314.48;1;38822
225;0.8817;0.578;203.23;1;5050
226;0.7371;0.598;284.71;1;17135
227;0.96;0.63;356.17;1;6672
228;0.579;0.594;221.91;1;9098
229;0.9089;0.62;293.53;1;3039
230;0.7814;0.583;265.91;1;5779
231;0.5575;0.519;182.29;1;2440
232;0.7568;0.56;195.46;1;4688
233;0.7855;0.499;141.79;1;7503
234;0.7009;0.554;218.97;1;11067
235;0.8917;0.564;225.94;1;10516
236;0.9516;0.577;211.18;1;3852
237;0.7746;0.595;257.99;1;44850
238;0.8606;0.557;260.79;1;3234
239;0.8224;0.612;359.06;1;6607
240;0.8477;0.545;230.66;1;25774
241;0.9071;0.576;203.61;1;3778
242;0.5423;0.551;226.26;1;3284
243;0.8696;0.557;263.09;1;9911
244;0.8587;0.612;325.94;1;5319
245;0.0633;0.489;164.69;1;6015
246;0.8559;0.575;221.27;1;6296
247;0.9581;0.632;366.07;1;4369
248;0.9248;0.668;501.14;1;22629
249;0.839;0.532;211.44;1;5304
250;0.1779;0.542;233.05;1;5393
251;0.8809;0.56;253.4;1;6193
252;0.8259;0.577;281.71;1;7966
253;0.592;0.515;218.15;1;3850
254;0.7848;0.565;236.13;1;19074
255;0.8366;0.574;212.72;1;7974
256;0.8388;0.583;229.86;1;9928
257;0.8559;0.562;210.45;1;3343
258;0.6223;0.546;246.88;1;7163
259;0.0701;0.588;262.36;1;5671
260;0.5137;0.544;209;1;5408
261;0.3466;0.537;213.61;1;4693
262;0.4353;0.56;237.66;1;5592
263;0.7369;0.528;158.02;1;6803
264;0.9153;0.656;401.74;1;45177
265;0.787;0.583;209.47;1;3921
266;0.6695;0.576;279.71;1;20020
267;0.7615;0.583;248.79;1;10953
268;0.4703;0.553;182.53;1;3878
269;0.393;0.552;221.08;1;10212
270;0.6648;0.505;158.13;1;5525
271;0.4893;0.541;203.34;1;4826
272;0.8327;0.587;270.82;1;18336
273;0.5596;0.488;177.35;1;5039
274;0.5827;0.497;198.58;1;26036
275;0.8765;0.555;245.15;1;4525
276;0.7736;0.498;183.59;1;5572
277;0.8956;0.565;234.94;1;3811
278;0.9539;0.628;291.37;1;6036
279;0.9347;0.588;277.73;1;7433
280;0.6354;0.589;258.93;1;4475
281;0.3414;0.546;200.41;1;4541
282;0.7825;0.642;378.39;1;25407
283;0.8058;0.573;204.49;1;7831
284;0.8705;0.566;307.32;1;9981
285;0.8426;0.607;285.52;1;10761
286;0.7816;0.542;168.68;1;4704
287;0.9583;0.555;193.65;1;4183
288;0.3976;0.527;186.24;1;4869
289;0.9024;0.618;311.48;1;13278
290;0.3917;0.561;265.3;1;6675
291;0.923;0.601;300.31;1;6569
292;0.6908;0.55;240.24;1;4264
293;0.2151;0.549;177.27;1;9245
294;0.9188;0.58;283.38;1;14512
295;0.9096;0.595;370.7;1;4665
296;0.8234;0.605;293.39;1;37767
297;0.2811;0.548;186.85;1;5074
298;0.7292;0.547;210.02;1;4366
299;0.7385;0.538;216.87;1;2482
300;0.9203;0.7;536.3;1;57690
301;0.9014;0.564;206.73;1;5235
302;0.8277;0.577;268.41;1;4477
303;0.4186;0.553;273.23;1;2879
304;0.63;0.608;330.49;1;8592
305;0.7104;0.619;380.62;1;11117
306;0.6074;0.561;208.67;1;5475
307;0.8154;0.548;285.45;1;10402
308;0.9403;0.65;426.79;1;10268
309;0.5476;0.508;162.06;1;4401
310;0.8221;0.599;214.09;1;3771
311;0.8686;0.563;221.81;1;8914
312;0.8349;0.624;263.73;1;14845
313;0.8632;0.63;261.12;1;9327
314;0.4098;0.582;397.98;1;8221
315;0.5798;0.541;237.76;1;11109
316;0.8493;0.583;321.64;1;10678
317;0.4552;0.535;190.04;1;5722
318;0.6012;0.524;254.28;1;18035
319;0.966;0.593;219.06;1;4309
320;0.8391;0.566;209.21;1;4656
321;0.9651;0.591;275.19;1;4390
322;0.346;0.561;191.63;1;2960
323;0.8329;0.522;163.33;1;13817
324;0.6967;0.504;181.17;1;5100
325;0.815;0.618;316.27;1;37085
326;0.7573;0.57;206.61;1;4757
327;0.5004;0.582;179.61;1;5373
328;0.5897;0.555;191.96;1;4517
329;0.9948;0.597;262.04;1;2656
330;0.7743;0.55;227.89;1;8008
331;0.2451;0.502;152.61;1;4523
332;0.4281;0.529;178.26;1;6422
333;0.7043;0.583;242.33;1;3863
334;0.8789;0.541;183.92;1;4850
335;0.9371;0.584;266.01;1;5281
336;0.6422;0.541;236.9;1;28406
337;0.6934;0.545;245.02;1;24721
338;0.7887;0.563;150.89;1;7816
339;0.8236;0.573;222.62;1;5213
340;0.005;0.562;291.91;1;7812
341;0.9587;0.59;295.66;1;4456
342;0.3213;0.525;195.88;1;6220
343;0.6788;0.562;204.46;1;10473
344;0.7472;0.539;220.05;1;32289
345;0.8389;0.623;294.48;1;1253
346;0.6992;0.508;154.73;1;6769
347;0.8781;0.615;273.95;1;10333
348;0.6107;0.561;315.6;1;7391
349;0.8893;0.578;217.23;1;10345
350;0.6527;0.542;150.52;1;4068
351;0.8609;0.55;225.37;1;6499
352;0.5832;0.53;167.87;1;8464
353;0.6945;0.576;218.07;1;7321
354;0.8108;0.602;239.37;1;8068
355;0.831;0.586;256.22;1;4556
356;0.7011;0.533;183.4;1;8206
357;0.7659;0.562;240.65;1;6498
358;0.6539;0.528;224.54;1;3260
359;0.7584;0.634;376.95;1;35640
360;0.9365;0.576;225.8;1;2626
361;0.5874;0.541;217.66;1;6657
362;0.6719;0.575;225.53;1;4059
363;0.6579;0.559;261.36;1;3363
364;0.8832;0.557;278.54;1;4993
365;0.8324;0.562;197.04;1;13745
366;0.6455;0.509;202.6;1;4147
367;0.7143;0.575;211.44;1;10276
368;0.938;0.687;479.58;1;145705
369;0.7662;0.561;323.31;1;4546
370;0.6051;0.563;215.75;1;6105
371;0.7721;0.514;167.01;1;3757
372;0.6161;0.6;327.06;1;19785
373;0.6541;0.526;193.61;1;3663
374;0.7433;0.571;270.17;1;37496
375;0.8809;0.562;157.24;1;2407
376;0.5255;0.554;202.99;1;4187
377;0.8939;0.698;563.88;1;73414
378;0.7384;0.566;249.17;1;11733
379;0.4531;0.564;227.79;1;17671
380;0.791;0.596;286.63;1;27553
381;0.8408;0.635;380.67;1;61834
382;0.697;0.549;226.34;1;11897
383;0.9106;0.563;228.65;1;2559
384;0.8422;0.565;212.64;1;3085
385;0.1552;0.515;168.78;1;8553
386;0.8774;0.589;255.92;1;8400
387;0.6122;0.591;299.65;1;17556
388;0.7654;0.541;161.99;1;4241
389;0.8567;0.52;185.05;1;4263
390;0.659;0.601;274.79;1;6845
391;0.669;0.572;248.87;1;6273
392;0.9167;0.601;278.49;1;6027
393;0.9323;0.577;208.49;1;3794
394;0.5304;0.544;216.61;1;6096
395;0.7367;0.588;228.71;1;5513
396;0.9577;0.574;228.52;1;4917
397;0.7623;0.567;229.29;1;5149
398;0.8435;0.584;329.44;1;6007
399;0.3842;0.619;208.58;1;2059
400;0.9147;0.613;235.42;1;3648
401;0.0699;0.596;220.96;1;4313
402;0.7476;0.61;309.48;1;3069
403;0.2466;0.485;141.81;1;5567
404;0.6632;0.57;256.79;1;6298
405;0.7878;0.56;281.43;1;2825
406;0.9686;0.616;227.37;1;4754
407;0.8568;0.559;229.34;1;4445
408;0.8173;0.515;198.13;1;5608
409;0.7395;0.582;237.11;1;6157
410;0.4331;0.559;224.99;1;4651
411;0.9163;0.523;174.82;1;7336
412;0.8351;0.645;368.36;1;19548
413;0.7662;0.565;214.48;1;5148
414;0.9388;0.573;242.73;1;3700
415;0.9021;0.552;275.18;1;6591
416;0.7112;0.594;321.2;1;5675
417;0.2629;0.595;261.24;1;4427
418;0.9529;0.554;202.89;1;2561
419;0.8907;0.563;256.03;1;2110
420;0.7662;0.535;185.84;1;2976
421;0.8546;0.556;189.01;1;18134
422;0.7805;0.595;249.23;1;13639
423;0.6775;0.661;406.2;1;32327
424;0.6625;0.536;189.25;1;3560
425;0.8603;0.562;198.01;1;4116
426;0.8951;0.581;200.91;1;9619
427;0.4698;0.575;261.23;1;14180
428;0.8491;0.627;362.56;1;12077
429;0.6695;0.561;195.08;1;4522
430;0.9774;0.586;265.42;1;6229
431;0.6522;0.501;189.63;1;2753
432;0.925;0.579;250.37;1;2620
433;0.9622;0.751;757.57;1;814230
434;0.822;0.577;232.7;1;42654
435;0.9055;0.631;364.39;1;20149
436;0.9436;0.647;380.19;1;20326
437;0.2722;0.553;201.49;1;4913
438;0.9594;0.571;251.64;1;4336
439;0.6793;0.503;173.56;1;2986
440;0.2107;0.565;259.38;1;3076
441;0.3507;0.544;195.12;1;4280
442;0.7144;0.628;229.74;1;10496
443;0.7694;0.606;259.03;1;15338
444;0.8617;0.601;250.79;1;57551
445;0.61;0.595;266.65;1;51160
446;0.5579;0.569;200.6;1;16203
447;0.6259;0.6;243.73;1;10771
448;0.9555;0.602;240.97;1;6856
449;0.6739;0.601;265.07;1;16359
450;0.7708;0.606;182.47;1;39232
451;0.7962;0.599;244.83;1;6984
452;0.8341;0.618;224.63;1;13925
453;0.7776;0.641;352.6;1;72628
454;0.8201;0.655;349.26;1;69159
455;0.6597;0.615;245.24;1;25391
456;0.7564;0.59;205.43;1;10491
457;0.6842;0.564;197.14;1;20685
458;0.8206;0.622;215.94;1;11529
459;0.5954;0.618;269.77;1;7650
460;0.7951;0.6;282.6;1;22445
461;0.6528;0.605;255.78;1;24566
462;0.8347;0.627;265.94;1;6026
463;0.6609;0.606;229.99;1;17315
464;0.8213;0.683;362.9;1;55323
465;0.7002;0.616;246.69;1;19573
466;0.7586;0.599;254.44;1;21514
467;0.7531;0.571;192.96;1;14476
468;0.7188;0.619;284.88;1;33321
469;0.7577;0.638;304.61;1;49311
470;0.8231;0.623;221.07;1;30878
471;0.7418;0.598;250.47;1;52498
472;0.8349;0.647;325.64;1;45193
473;0.9362;0.62;269;1;60158
474;0.7186;0.63;303.68;1;26506
475;0.7373;0.612;278.9;1;74473
476;0.5507;0.611;211.95;1;17062
477;0.8104;0.592;213.18;1;20020
478;0.8142;0.596;225.75;1;18347
479;0.821;0.578;243.1;1;26393
480;0.6225;0.597;239.39;1;18567
481;0.7515;0.593;224.37;1;16746
482;0.794;0.646;309.14;1;66142
483;0.5869;0.618;246.38;1;18745
484;0.7583;0.609;225.43;1;9952
485;0.9128;0.682;379.63;1;325441
486;0.793;0.627;317.69;1;24527
487;0.7298;0.586;208.7;1;12615
488;0.3892;0.585;171.62;1;12853
489;0.592;0.604;277.4;1;18915
490;0.6858;0.61;210.65;1;21954
491;0.7754;0.644;373.18;1;72812
492;0.9003;0.713;470.46;1;121428
493;0.9462;0.59;176.12;1;17069
494;0.9021;0.632;282.51;1;22479
495;0.802;0.609;233.15;1;9095
496;0.7931;0.61;246.27;1;6840
497;0.8718;0.701;623.01;1;46033
498;0.7891;0.633;231.88;1;19007
499;0.9219;0.644;300.9;1;21786
500;0.987;0.754;846.36;1;2452185
501;0.8485;0.624;264.14;1;14817
502;0.7027;0.604;246.03;1;12991
503;0.6436;0.568;242.1;1;6218
504;0.6587;0.57;195.67;1;15049
505;0.7073;0.559;173.99;1;52645
506;0.8642;0.585;221.14;1;4629
507;0.8681;0.633;304.64;1;10228
508;0.8712;0.617;239.69;1;24091
509;0.8707;0.609;247.55;1;37775
510;0.7804;0.637;287.35;1;4164
511;0.7534;0.597;243.41;1;19325
512;0.9398;0.658;322.78;1;55187
513;0.1704;0.577;199.63;1;12922
514;0.8104;0.608;258.57;1;23808
515;0.7554;0.606;196.54;1;11335
516;0.8541;0.616;280.79;1;18392
517;0.7849;0.606;274.01;1;65456
518;0.8724;0.677;434.67;1;96495
519;0.6652;0.632;262.34;1;25573
520;0.8255;0.579;182.11;1;11343
521;0.7776;0.606;380.61;1;12009
522;0.8205;0.618;301.38;1;40296
523;0.8916;0.573;222.22;1;37862
524;0.7605;0.652;328.61;1;13722
525;0.7614;0.605;211.75;1;22324
526;0.8818;0.656;296.81;1;7316
527;0.9298;0.626;300.15;1;35817
528;0.7983;0.623;263.18;1;48350
529;0.7696;0.64;264.08;1;116065
530;0.6127;0.604;209.53;1;18626
531;0.8303;0.606;214.89;1;37471
532;0.5392;0.562;196.02;1;18894
533;0.6213;0.612;247.85;1;17863
534;0.8799;0.618;287.08;1;10399
535;0.8381;0.621;294.97;1;34409
536;0.8438;0.624;274.9;1;32236
537;0.4855;0.614;241.09;1;26688
538;0.8033;0.651;264.55;1;7660
539;0.9334;0.652;365.46;1;17002
540;0.9504;0.694;439.53;1;249939
541;0.772;0.598;232.22;1;23807
542;0.7074;0.613;288.15;1;31090
543;0.9581;0.682;410.03;1;56264
544;0.6435;0.61;225.22;1;18088
545;0.9703;0.686;372.91;1;209057
546;0.8624;0.659;307.81;1;113561
547;0.8332;0.612;266.87;1;24703
548;0.8115;0.599;232.17;1;10214
549;0.7777;0.616;231.47;1;35191
550;0.7202;0.605;236.11;1;44240
551;0.7706;0.618;258.78;1;13693
552;0.6785;0.628;261.96;1;28316
553;0.7193;0.626;260.95;1;13086
554;0.6886;0.592;191.56;1;12800
555;0.8474;0.622;293.16;1;34274
556;0.6374;0.582;243.85;1;42690
557;0.7003;0.61;237.18;1;16705
558;0.7829;0.61;276.36;1;62065
559;0.6756;0.581;174.55;1;8070
560;0.7864;0.588;208.9;1;20700
561;0.7253;0.607;269.65;1;14102
562;0.6352;0.607;246.35;1;11485
563;0.8098;0.625;272.1;1;14256
564;0.9074;0.614;304.52;1;30965
565;0.7522;0.605;247.79;1;27453
566;0.539;0.594;208.77;1;24007
567;0.8829;0.636;298.84;1;21389
568;0.8004;0.659;354.78;1;61838
569;0.9776;0.675;344.63;1;72299
570;0.7891;0.635;279.49;1;11607
571;0.7256;0.621;264.03;1;5986
572;0.72;0.638;281.69;1;8866
573;0.6064;0.622;315.23;1;12005
574;0.9462;0.637;328.2;1;31636
575;0.8853;0.634;283.79;1;30041
576;0.6373;0.57;211.05;1;31309
577;0.6821;0.583;196.63;1;11308
578;0.7319;0.603;231.56;1;41890
579;0.7606;0.646;271.18;1;8226
580;0.802;0.629;264.95;1;35400
581;0.7853;0.601;209.49;1;15757
582;0.8736;0.636;296.99;1;18683
583;0.6396;0.6;217.02;1;15467
584;0.7227;0.591;191.39;1;10216
585;0.7234;0.581;212.87;1;12001
586;0.6263;0.622;218.44;1;15061
587;0.6549;0.562;215.12;1;10276
588;0.505;0.604;236.09;1;6126
589;0.6106;0.594;208.58;1;19921
590;0.7209;0.659;317.66;1;80604
591;0.8224;0.591;242.27;1;15000
592;0.7872;0.642;317.45;1;71887
593;0.8855;0.622;260.79;1;19412
594;0.7284;0.626;273.08;1;26415
595;0.7773;0.601;260.65;1;19455
596;0.8802;0.674;372.43;1;69833
597;0.6266;0.575;220.94;1;15752
598;0.1346;0.54;176.75;1;15453
599;0.6198;0.587;224.83;1;29946
600;0.6084;0.612;212.7;1;17170
601;0.7035;0.616;238.84;1;42763
602;0.867;0.611;263.94;1;44178
603;0.8402;0.665;309.14;1;43890
604;0.9616;0.654;378.76;1;7900
605;0.6928;0.62;257.9;1;12332
606;0.7683;0.619;283.8;1;26469
607;0.8246;0.603;214.23;1;6852
608;0.9501;0.714;448.89;1;188233
609;0.7598;0.625;269.25;1;17665
610;0.7547;0.645;379.75;1;29204
611;0.8134;0.58;211.64;1;25451
612;0.7741;0.576;214.72;1;8910
613;0.7822;0.633;305.42;1;55716
614;0.5992;0.584;199.81;1;16827
615;0.8994;0.657;398.29;1;68892
616;0.7599;0.606;205.89;1;51422
617;0.7947;0.606;188.84;1;14408
618;0.8045;0.648;325.13;1;31787
619;0.8046;0.591;223.62;1;7545
620;0.7786;0.587;195.42;1;18802
621;0.7687;0.639;267.47;1;19765
622;0.7133;0.566;182.85;1;12883
623;0.9182;0.611;286.41;1;17593
624;0.8462;0.629;276.17;1;38434
625;0.6581;0.571;204.23;1;54955
626;0.8752;0.679;410.61;1;11035
627;0.8883;0.661;432.38;1;53227
628;0.762;0.585;261.3;1;10844
629;0.8649;0.616;212.82;1;2980
630;0.8487;0.606;296.5;1;13507
631;0.7319;0.624;291.3;1;4871
632;0.8587;0.672;447.67;1;12305
633;0.9047;0.624;347.65;1;11549
634;0.8471;0.578;251.04;1;6907
635;0.7144;0.639;358.66;1;34763
636;0.8647;0.682;449.02;1;25315
637;0.8696;0.606;309.04;1;12924
638;0.5503;0.621;388.39;1;9289
639;0.9093;0.609;315.25;1;8573
640;0.8007;0.574;263.68;1;24182
641;0.8012;0.566;266.71;1;3950
642;0.7537;0.582;233.48;1;5113
643;0.7683;0.629;277.16;1;2425
644;0.8755;0.584;300.38;1;9440
645;0.8699;0.592;304.8;1;11577
646;0.9222;0.574;280.53;1;6016
647;0.8946;0.587;250.07;1;3308
648;0.9335;0.71;637.13;1;62709
649;0.5076;0.626;251.73;1;10266
650;0.9207;0.579;256.22;1;30916
651;0.7857;0.638;321.99;1;19576
652;0.791;0.659;387.8;1;7429
653;0.8753;0.589;300.27;1;9762
654;0.8118;0.616;332.89;1;68141
655;0.6707;0.607;282.84;1;10916
656;0.513;0.587;238.25;1;5405
657;0.8602;0.578;243.22;1;4772
658;0.8501;0.654;339.38;1;7967
659;0.8817;0.691;526.96;1;42652
660;0.9091;0.621;272.21;1;6492
661;0.9866;0.766;850.44;1;202456
662;0.786;0.629;312.34;1;5231
663;0.7887;0.623;292.55;1;5822
664;0.8932;0.558;243.23;1;10475
665;0.9388;0.66;428.65;1;24569
666;0.7707;0.636;298.6;1;5734
667;0.7969;0.597;269.67;1;2854
668;0.832;0.642;359;1;8959
669;0.8;0.606;298.43;1;2874
670;0.8124;0.597;269.48;1;4233
671;0.7401;0.564;291.78;1;2159
672;0.8034;0.638;377.59;1;22481
673;0.5972;0.592;267.12;1;12374
674;0.8702;0.664;410.84;1;9393
675;0.8774;0.626;407.49;1;12404
676;0.519;0.55;204.5;1;12171
677;0.7492;0.603;273.8;1;13856
678;0.9438;0.679;395.09;1;2077
679;0.7427;0.624;306;1;6932
680;0.8911;0.614;310.63;1;5564
681;0.6486;0.604;259.77;1;7925
682;0.7166;0.569;261.85;1;6801
683;0.7769;0.615;272.39;1;5345
684;0.7674;0.574;192.34;1;9011
685;0.5806;0.569;214.04;1;5522
686;0.4507;0.565;255.49;1;2607
687;0.8265;0.603;314.6;1;13506
688;0.91;0.663;447.53;1;12113
689;0.7863;0.595;335.64;1;32227
690;0.7965;0.53;174.39;1;2601
691;0.9386;0.608;301.09;1;5868
692;0.8685;0.601;301.94;1;17692
693;0.7123;0.595;248.13;1;3582
694;0.874;0.601;295.37;1;6227
695;0.6267;0.553;214.84;1;6989
696;0.875;0.589;270.76;1;2668
697;0.8506;0.585;233.77;1;13983
698;0.7791;0.582;247.22;1;7564
699;0.7874;0.624;292.5;1;10381
700;0.6865;0.625;258.98;1;4612
701;0.8068;0.646;388.31;1;3633
